"sp" "environment" "DF" "SVL" "logDF" "logSVL"
"177" "Hypsiboas_ornatissimus" "still" 2855 31 3.45560611258187 1.49136169383427
"178" "Hypsiboas_fasciatus" "still" 2530 40.3 3.40312052117582 1.60530504614111
"179" "Hypsiboas_albopunctatus" "still" 2168 60 3.33605927786635 1.77815125038364
"180" "Hypsiboas_pellucens" "still" 800 61.6 2.90308998699194 1.78958071216443
"181" "Hypsiboas_rufitelus" "still" 1600 49.2 3.20411998265592 1.69196510276736
"182" "Hypsiboas_pardalis" "still" 1133 69 3.0542299098634 1.83884909073726
"183" "Hypsiboas_ericae" "running" 2700 34 3.43136376415899 1.53147891704226
"184" "Hypsiboas_semiguttatus" "running" 2450 46.1 3.38916608436453 1.66370092538965
"185" "Hypsiboas_joaquini" "running" 1700 56.4 3.23044892137827 1.75127910398334
"186" "Hypsiboas_bischoffi" "still" 1750 46.1 3.24303804868629 1.66370092538965
"187" "Sphaenorhynchus_orophilus" "still" 2350 32 3.37106786227174 1.50514997831991
"188" "Scinax_crospedospilus" "still" 1350 33.3 3.13033376849501 1.52244423350632
"189" "Scinax_fuscovarius" "still" 855 47.1 2.93196611472817 1.6730209071289
"190" "Pseudis_bolbodactyla" "still" 1937 45 3.28712962071911 1.65321251377534
"191" "Dendropsophus_triangulum" "still" 2298 28 3.36135002435227 1.44715803134222
"192" "Dendropsophus_leucophyllatus" "still" 2482 36 3.39480177716271 1.55630250076729
"193" "Dendropsophus_nanus" "still" 4200 22 3.6232492903979 1.34242268082221
"194" "Argenteohyla_siemersi" "still" 1882 70 3.27461961909124 1.84509804001426
"195" "Trachycephalus_coriaceus" "still" 2090 63 3.32014628611105 1.79934054945358
"196" "Trachycephalus_mesophaeus" "still" 1014 85 3.00603795499732 1.92941892571429
"197" "Osteocephalus_taurinus" "still" 1501 85 3.17638069224327 1.92941892571429
"198" "Pseudacris_ornata" "still" 2651 39 3.42340972773309 1.5910646070265
"199" "Pseudacris_brachyphona" "still" 2394 32 3.37912414607039 1.50514997831991
"200" "Pseudacris_triseriata" "still" 2776 32 3.44341946178282 1.50514997831991
"201" "Exerodonta_sumichrasti" "running" 2510 27.7 3.39967372148104 1.44247976906445
"202" "Exerodonta_melanomma" "running" 2336 29.9 3.36847283844036 1.47567118832443
"203" "Plectrohyla_cyclada" "running" 2072 39.5 3.3163897510732 1.59659709562646
"204" "Ptychohyla_spinipollex" "running" 4300 41.2 3.63346845557959 1.61489721603313
"205" "Duellmanohyla_rufioculis" "running" 2320 30 3.3654879848909 1.47712125471966
"206" "Ptychohyla_leonhardschultzei" "running" 2750 35.6 3.43933269383026 1.55144999797288
"207" "Tlalocohyla_picta" "still" 2661 21.4 3.42504487455139 1.33041377334919
"208" "Tlalocohyla_loquax" "still" 2323 44.7 3.36604920980024 1.65030752313194
"209" "Isthmohyla_pseudopuma" "still" 956 41.4 2.9804578922761 1.6170003411209
"210" "Isthmohyla_tica" "running" 2228 34.1 3.34791518650169 1.5327543789925
"211" "Isthmohyla_rivularis" "running" 2420 34 3.38381536598043 1.53147891704226
"212" "Triprion_petasatus" "still" 2096 60.8 3.32139127831169 1.78390357927273
"213" "Smilisca_baudinii" "still" 350 76 2.54406804435028 1.88081359228079
"214" "Smilisca_sordida" "running" 2695 45 3.43055876952276 1.65321251377534
"215" "Smilisca_fodiens" "still" 2230 62.6 3.34830486304816 1.79657433321043
"216" "Smilisca_puma" "still" 740 38.1 2.86923171973098 1.58092497567562
"217" "Smilisca_phaeota" "still" 372 65.5 2.5705429398819 1.81624129999178
"218" "Hyla_squirella" "still" 3344 36 3.52426626876698 1.55630250076729
"219" "Hyla_andersonii" "still" 1100 51 3.04139268515822 1.70757017609794
"220" "Hyla_femoralis" "still" 2600 37 3.41497334797082 1.56820172406699
"221" "Ceratophrys_cornuta" "still" 2176 72 3.33765889102614 1.85733249643127
"222" "Chacophrys_pierottii" "still" 4357 53.1 3.63918755993575 1.72509452108147
"223" "Ceratophrys_cranwelli" "still" 1715 130 3.23426412437879 2.11394335230684
"224" "Ceratophrys_ornata" "still" 2000 125.8 3.30102999566398 2.09968064110925
"225" "Macrogenioglottus_alipioi" "still" 515 100 2.71180722904119 2
"226" "Odontophrynus_cultripes" "still" 660 60 2.81954393554187 1.77815125038364
"227" "Odontophrynus_americanus" "still" 1035 58 3.01494034979294 1.76342799356294
"228" "Odontophrynus_occidentalis" "running" 820 60 2.91381385238372 1.77815125038364
"229" "Odontophrynus_achalensis" "running" 933 49.4 2.9698816437465 1.69372694892365
"230" "Proceratophrys_cristiceps" "running" 940 50.2 2.9731278535997 1.70070371714502
"231" "Proceratophrys_bigibbosa" "running" 1050 43.8 3.02118929906994 1.6414741105041
"232" "Proceratophrys_cururu" "running" 800 43.1 2.90308998699194 1.63447727016073
"233" "Crossodactylus_schmidti" "running" 3306 30 3.51930284923543 1.47712125471966
"234" "Hylodes_phyllodes" "running" 5000 31.4 3.69897000433602 1.49692964807321
"235" "Hylodes_sazimai" "running" 4750 28.5 3.67669360962487 1.45484486000851
"236" "Alsodes_nodosus" "running" 1140 75.85 3.05690485133647 1.87995558512275
"237" "Hylorina_sylvatica" "still" 1252 56 3.09760432887441 1.7481880270062
"238" "Physalaemus_signifer" "still" 1210 25.9 3.08278537031645 1.41329976408125
"239" "Leptodactylus_labyrinthicus" "still" 391 170 2.59217675739587 2.23044892137827
"240" "Leptodactylus_elenae" "still" 1160 45.2 3.06445798922692 1.65513843481138
"241" "Allophryne_ruthveni" "still" 4645 20.6 3.66698571832966 1.31386722036915
"242" "Hyalinobatrachium_mondolfii" "running" 5106 22.5 3.70808081046823 1.35218251811136
"243" "Hyalinobatrachium_orientale" "running" 4819 24.5 3.68295692630121 1.38916608436453
"244" "Centrolene_geckoideum" "running" 3828 77 3.58297192910481 1.88649072517248
"245" "Atelopus_franciscus" "running" 3320 21 3.52113808370404 1.32221929473392
"246" "Atelopus_flavescens" "running" 2725 30 3.43536650661266 1.47712125471966
"247" "Atelopus_varius" "running" 2350 41 3.37106786227174 1.61278385671974
"248" "Dendrophryniscus_minutus" "still" 3900 17 3.5910646070265 1.23044892137827
"249" "Bufo_longinasus" "running" 2329 29 3.36716948853468 1.46239799789896
"250" "Bufo_gundlachi" "still" 2669 34 3.42634857378751 1.53147891704226
"251" "Bufo_taladai" "running" 768 138 2.88536122003151 2.13987908640124
"252" "Bufo_empusus" "still" 1549 76 3.19005141775921 1.88081359228079
"253" "Bufo_granulosus" "still" 2906 70 3.463295609962 1.84509804001426
"254" "Bufo_beebei" "still" 3150 51 3.4983105537896 1.70757017609794
"255" "Bufo_schneideri" "still" 700 180 2.84509804001426 2.25527250510331
"256" "Bufo_arenarum" "still" 1100 112 3.04139268515822 2.04921802267018
"257" "Bufo_ocellatus" "still" 1378 53 3.13924921757161 1.72427586960079
