"sp","environment","DF","SVL","logDF","logSVL"
"Bufo_ibarrai","still",1700,82,7.43838353004431,4.40671924726425
"Bufo_melanochlorus","running",1700,65,7.43838353004431,4.17438726989564
"Bufo_luetkenii","still",1700,96,7.43838353004431,4.56434819146784
"Bufo_valliceps","still",1480,77.8,7.29979736675816,4.35414143118435
"Bufo_cognatus","still",2307,103,7.74370325817375,4.63472898822964
"Bufo_speciosus","still",2621,78,7.87131120332341,4.35670882668959
"Bufo_terrestris","still",2000,82,7.60090245954208,4.40671924726425
"Bufo_steindachneri","still",2142,48.3,7.66949525100769,3.87743156065853
"Bufo_pardalis","still",650,110,6.47697236288968,4.70048036579242
"Bufo_pantherinus","still",2500,91,7.82404601085629,4.51085950651685
"Bufo_brauni","running",1120,65,7.02108396428914,4.17438726989564
"Bufo_gutturalis","still",1150,90,7.0475172213573,4.49980967033027
"Bufo_calamita","still",1477,71,7.29776828253138,4.26267987704132
"Bufo_raddei","still",1513,67,7.32184971378836,4.20469261939097
"Bufo_asper","running",1031,100,6.93828448401696,4.60517018598809
"Bufo_juxtasper","running",718,138,6.57646956904822,4.92725368515721
"Ansonia_leptopus","running",3933,40,8.27715777243181,3.68887945411394
"Pedostibes_tuberculosus","running",3782,38,8.2380082492184,3.63758615972639
"Schismaderma_carens","still",450,88,6.10924758276437,4.47733681447821
"Bufo_siculus","still",1600,86.6,7.37775890822787,4.46129981556839
"Rhinophrynus_dorsalis","still",1525,75,7.32974968904151,4.31748811353631
"Scaphiopus_holbrookii","still",1425,78,7.26192709270275,4.35670882668959
"Megophrys_nasuta","running",2250,105,7.71868549519847,4.65396035015752
"Leptolalax_pictus","running",7000,36,8.85366542803745,3.58351893845611
"Leptolalax_oshanensis","running",4512,30.7,8.4144957931779,3.42426265459315
"Leptobrachium_gunungense","running",1200,65,7.09007683577609,4.17438726989564
"Leptobrachium_montanum","running",800,62.7,6.68461172766793,4.13836144763888
"Leptopelis_kivuensis","still",1480,37,7.29979736675816,3.61091791264422
"Phlyctimantis_verrucosus","still",1600,52,7.37775890822787,3.95124371858143
"Heterixalus_madagascariensis","still",3375,35,8.12415060330663,3.55534806148941
"Heterixalus_luteostriatus","still",3500,28,8.1605182474775,3.3322045101752
"Heterixalus_betsileo","still",3000,28,8.00636756765025,3.3322045101752
"Heterixalus_carbonei","still",3200,26.4,8.07090608878782,3.27336401015227
"Heterixalus_tricolor","still",3000,26,8.00636756765025,3.25809653802148
"Phrynomantis_bifasciatus","still",1800,53,7.49554194388426,3.97029191355212
"Phrynomantis_microps","still",1260,47.3,7.13886699994552,3.85651029549789
"Chiasmocleis_shudikarensis","still",3565,24.5,8.1789193328484,3.19867311755068
"Hamptophryne_boliviana","still",2208,35,7.69984240739699,3.55534806148941
"Elachistocleis_ovalis","still",3838,36,8.25270667656764,3.58351893845611
"Hypopachus_variolosus","still",2750,48,7.91935619066062,3.87120101090789
"Gastrophryne_elegans","still",3100,25.8,8.03915739047324,3.25037449192757
"Gastrophryne_olivacea","still",4420,30.8,8.39389497507174,3.42751468997953
"Scaphiophryne_spinosa","still",800,48,6.68461172766793,3.87120101090789
"Scaphiophryne_gottlebei","still",950,30,6.85646198459459,3.40119738166216
"Scaphiophryne_boribory","still",700,60,6.5510803350434,4.0943445622221
"Scaphiophryne_madagascariensis","still",1000,49,6.90775527898214,3.89182029811063
"Scaphiophryne_menabensis","still",850,42,6.74523634948436,3.73766961828337
"Kaloula_pulchra","still",2500,70,7.82404601085629,4.24849524204936
"Micryletta_inornata","still",5450,30,8.60337088765729,3.40119738166216
"Calluella_guttulata","still",1950,49,7.57558465155779,3.89182029811063
"Microhyla_butleri","still",2850,26,7.9550742732627,3.25809653802148
"Microhyla_pulchra","still",1750,35,7.46737106691756,3.55534806148941
"Ptychadena_taenioscelis","still",2450,35,7.80384330353877,3.55534806148941
"Ptychadena_oxyrhynchus","still",1715,53,7.44716835960004,3.97029191355212
"Ptychadena_porosissima","still",4091,44.1,8.3165447179294,3.7864597824528
"Petropedetes_yakusini","running",1300,73,7.17011954344963,4.29045944114839
"Tomopterna_krugerensis","still",2500,44.8,7.82404601085629,3.80220813942094
"Microbatrachella_capensis","still",4900,15,8.49699048409872,2.70805020110221
"Cacosternum_capense","still",2300,31.5,7.74066440191724,3.44998754583159
"Euphlyctis_cyanophlyctis","still",1651,45,7.40913644392013,3.80666248977032
"Euphlyctis_ehrenbergii","still",937,66,6.84268328223842,4.18965474202643
"Fejervarya_limnocharis","still",2119,43,7.6586995582683,3.76120011569356
"Boophis_vittatus","running",7250,25.5,8.88875674784872,3.23867845216438
