sp,environment,DF,SVL,logDF,logSVL
Scinax_x-signatus,still,1110,42.5,3.045322979,1.62838893
Scinax_ruber,still,700,41.2,2.84509804,1.614897216
Dendropsophus_allenorum,still,3430,21.4,3.53529412,1.330413773
Dendropsophus_marmoratus,still,1514,44,3.180125875,1.643452676
Dendropsophus_seniculus,still,3969,37.7,3.598681099,1.57634135
Dendropsophus_koechlini,still,4500,24,3.653212514,1.380211242
Dendropsophus_brevifrons,still,4254,22,3.628797486,1.342422681
Dendropsophus_giesleri,still,3300,25,3.51851394,1.397940009
Dendropsophus_carnifex,still,2490,27.7,3.396199347,1.442479769
Dendropsophus_labialis,still,1750,43,3.243038049,1.633468456
Dendropsophus_anceps,still,3244,40,3.511080846,1.602059991
Dendropsophus_elegans,still,3500,29.6,3.544068044,1.471291711
Dendropsophus_ebraccatus,still,2577,27.8,3.411114419,1.444044796
Dendropsophus_sarayacuensis,still,2990,29,3.475671188,1.462397998
Dendropsophus_bifurcus,still,2958,28,3.47099817,1.447158031
Dendropsophus_leali,still,6200,23,3.792391689,1.361727836
Dendropsophus_rhodopeplus,still,5670,24.2,3.753583059,1.383815366
Dendropsophus_microcephalus,still,6210,24.5,3.7930916,1.389166084
Dendropsophus_robertmertensi,still,5388,26.4,3.731427587,1.421603927
Dendropsophus_sartori,still,3217,26,3.507451061,1.414973348
Dendropsophus_riveroi,still,5314,20,3.72542155,1.301029996
Dendropsophus_bipunctatus,still,5426,25,3.734479789,1.397940009
Dendropsophus_berthalutzae,still,4041,21,3.60648885,1.322219295
Dendropsophus_minusculus,still,9186,20.6,3.963126441,1.31386722
Dendropsophus_sanborni,still,5100,17,3.707570176,1.230448921
Dendropsophus_rubicundulus,still,3500,28.3,3.544068044,1.451786436
Trachycephalus_nigromaculatus,still,1990,86,3.298853076,1.934498451
Osteopilus_septentrionalis,still,2300,89,3.361727836,1.949390007
Pseudacris_illinoensis,still,2168,43,3.336059278,1.633468456
Pseudacris_fouquettei,still,3138,29.8,3.496652939,1.474216264
Pseudacris_clarkii,still,3072,29,3.487421211,1.462397998
Pseudacris_feriarum,still,2977,27.3,3.473778835,1.436162647
Pseudacris_kalmi,still,2972,38.1,3.473048805,1.580924976
Pseudacris_nigrita,still,3149,28,3.498172661,1.447158031
